session_id,label
,Normal
20000,Benign
20002,Benign
20004,Malicious
20006,Malicious
20008,Benign
20010,Benign
20012,Benign
20014,Malicious
20016,Malicious
20018,Malicious
20020,Malicious
20022,Malicious
20024,Malicious
20026,Benign
20028,Benign
20030,Malicious
20032,Benign
20034,Benign
20036,Benign
20038,Malicious
20040,Benign
20042,Malicious
20044,Malicious
20046,Benign
20048,Benign
20050,Benign
20052,Malicious
20054,Benign
20056,Malicious
20058,Malicious
20060,Malicious
20062,Benign
20064,Malicious
20066,Benign
20068,Benign
20070,Malicious
20072,Malicious
