session_id,label
,Normal
20000,Benign
20002,Benign
20004,Benign
20006,Malicious
20008,Benign
20010,Malicious
20012,Malicious
20014,Malicious
20016,Benign
20018,Benign
20020,Benign
20022,Benign
20024,Malicious
20026,Malicious
20028,Benign
20030,Benign
20032,Malicious
20034,Malicious
20036,Benign
20038,Benign
20040,Benign
20042,Benign
20044,Benign
20046,Malicious
20048,Malicious
20050,Malicious
20052,Malicious
20054,Benign
20056,Benign
20058,Benign
20060,Benign
20062,Benign
20064,Benign
20066,Benign
20068,Benign
