session_id,label
,Normal
20000,Benign
20002,Benign
20004,Benign
20006,Malicious
20008,Malicious
20010,Benign
20012,Benign
20014,Benign
20016,Benign
20018,Benign
20020,Benign
20022,Malicious
20024,Malicious
20026,Malicious
20028,Benign
20030,Malicious
20032,Benign
20034,Benign
20036,Malicious
20038,Benign
20040,Malicious
20042,Benign
20044,Malicious
20046,Malicious
20048,Malicious
20050,Malicious
20052,Malicious
20054,Malicious
20056,Malicious
20058,Malicious
20060,Malicious
20062,Malicious
20064,Malicious
20066,Malicious
20068,Malicious
20070,Benign
20072,Benign
20074,Benign
