session_id,label
,Normal
20000,Malicious
20002,Malicious
20004,Malicious
20006,Malicious
20008,Benign
20010,Malicious
20012,Malicious
20014,Malicious
20016,Malicious
20018,Malicious
20020,Malicious
20022,Benign
20024,Benign
20026,Malicious
20028,Malicious
20030,Malicious
20032,Malicious
20034,Benign
20036,Benign
20038,Benign
20040,Malicious
20042,Malicious
20044,Malicious
20046,Benign
20048,Benign
20050,Malicious
20052,Malicious
20054,Benign
20056,Benign
20058,Benign
20060,Benign
20062,Benign
20064,Benign
20066,Malicious
20068,Benign
20070,Benign
