session_id,label
,Normal
20000,Malicious
20002,Malicious
20004,Malicious
20006,Malicious
20008,Benign
20010,Benign
20012,Benign
20014,Malicious
20016,Malicious
20018,Benign
20020,Benign
20022,Malicious
20024,Benign
20026,Benign
20028,Malicious
20030,Benign
20032,Benign
20034,Malicious
20036,Malicious
20038,Benign
20040,Benign
20042,Benign
20044,Malicious
20046,Benign
20048,Benign
20050,Benign
20052,Benign
20054,Benign
20056,Malicious
20058,Benign
20060,Benign
20062,Malicious
20064,Benign
20066,Benign
20068,Malicious
20070,Malicious
