session_id,label
,Normal
20000,Benign
20002,Benign
20004,Malicious
20006,Malicious
20008,Malicious
20010,Benign
20012,Benign
20014,Benign
20016,Malicious
20018,Malicious
20020,Benign
20022,Benign
20024,Benign
20026,Benign
20028,Malicious
20030,Malicious
20032,Malicious
20034,Benign
20036,Benign
20038,Benign
20040,Benign
20042,Malicious
20044,Malicious
20046,Benign
20048,Malicious
20050,Benign
20052,Malicious
20054,Malicious
20056,Malicious
20058,Benign
20060,Benign
20062,Benign
20064,Benign
20066,Benign
20068,Benign
20070,Benign
20072,Malicious
