session_id,label
,Normal
20000,Benign
20002,Malicious
20004,Malicious
20006,Malicious
20008,Benign
20010,Benign
20012,Benign
20014,Malicious
20016,Benign
20018,Benign
20020,Benign
20022,Malicious
20024,Benign
20026,Malicious
20028,Malicious
20030,Malicious
20032,Malicious
20034,Malicious
20036,Malicious
20038,Benign
20040,Benign
20042,Malicious
20044,Benign
20046,Malicious
20048,Benign
20050,Benign
20052,Benign
20054,Benign
20056,Malicious
20058,Benign
20060,Malicious
20062,Benign
20064,Benign
20066,Benign
20068,Benign
20070,Benign
20072,Malicious
20074,Malicious
20076,Malicious
