session_id,label
,Normal
20000,Malicious
20002,Benign
20004,Benign
20006,Malicious
20008,Benign
20010,Benign
20012,Benign
20014,Benign
20016,Malicious
20018,Malicious
20020,Benign
20022,Malicious
20024,Benign
20026,Benign
20028,Benign
20030,Malicious
20032,Benign
20034,Malicious
20036,Malicious
20038,Malicious
20040,Malicious
20042,Benign
20044,Malicious
20046,Benign
20048,Benign
20050,Benign
20052,Malicious
20054,Benign
20056,Benign
20058,Benign
20060,Benign
20062,Benign
20064,Malicious
20066,Malicious
20068,Malicious
