session_id,label
,Normal
20000,Malicious
20002,Malicious
20004,Malicious
20006,Benign
20008,Benign
20010,Benign
20012,Malicious
20014,Malicious
20016,Malicious
20018,Benign
20020,Benign
20022,Benign
20024,Malicious
20026,Benign
20028,Benign
20030,Benign
20032,Malicious
20034,Malicious
20036,Malicious
20038,Malicious
20040,Malicious
20042,Malicious
20044,Malicious
20046,Malicious
20048,Benign
20050,Benign
20052,Benign
20054,Malicious
20056,Benign
20058,Malicious
20060,Malicious
20062,Malicious
20064,Malicious
20066,Malicious
20068,Benign
