session_id,label
,Normal
20000,Benign
20002,Benign
20004,Benign
20006,Malicious
20008,Malicious
20010,Malicious
20012,Malicious
20014,Benign
20016,Benign
20018,Benign
20020,Malicious
20022,Malicious
20024,Benign
20026,Benign
20028,Malicious
20030,Malicious
20032,Malicious
20034,Malicious
20036,Malicious
20038,Benign
20040,Benign
20042,Benign
20044,Malicious
20046,Benign
20048,Benign
20050,Malicious
20052,Benign
20054,Benign
20056,Malicious
20058,Benign
20060,Benign
20062,Benign
20064,Benign
20066,Benign
