session_id,label
,Normal
20000,Malicious
20002,Malicious
20004,Benign
20006,Benign
20008,Malicious
20010,Malicious
20012,Malicious
20014,Malicious
20016,Malicious
20018,Malicious
20020,Malicious
20022,Malicious
20024,Benign
20026,Benign
20028,Benign
20030,Benign
20032,Benign
20034,Malicious
20036,Malicious
20038,Benign
20040,Benign
20042,Malicious
20044,Malicious
20046,Malicious
20048,Malicious
20050,Malicious
20052,Malicious
20054,Malicious
20056,Malicious
20058,Malicious
20060,Benign
20062,Benign
