session_id,label
,Normal
20000,Malicious
20002,Benign
20004,Benign
20006,Benign
20008,Malicious
20010,Benign
20012,Malicious
20014,Malicious
20016,Benign
20018,Benign
20020,Benign
20022,Benign
20024,Benign
20026,Malicious
20028,Benign
20030,Benign
20032,Benign
20034,Benign
20036,Malicious
20038,Benign
20040,Benign
20042,Benign
20044,Benign
20046,Malicious
20048,Benign
20050,Benign
20052,Benign
20054,Malicious
20056,Benign
20058,Malicious
20060,Malicious
20062,Malicious
20064,Malicious
20066,Malicious
