session_id,label
,Normal
20000,Malicious
20002,Benign
20004,Malicious
20006,Malicious
20008,Malicious
20010,Benign
20012,Benign
20014,Malicious
20016,Malicious
20018,Malicious
20020,Benign
20022,Benign
20024,Malicious
20026,Malicious
20028,Malicious
20030,Malicious
20032,Malicious
20034,Benign
20036,Benign
20038,Malicious
20040,Malicious
20042,Malicious
20044,Malicious
20046,Benign
20048,Malicious
20050,Malicious
20052,Benign
20054,Benign
20056,Benign
20058,Malicious
20060,Malicious
20062,Malicious
20064,Benign
20066,Benign
20068,Malicious
20070,Benign
20072,Benign
