session_id,label
,Normal
20000,Benign
20002,Benign
20004,Malicious
20006,Malicious
20008,Malicious
20010,Benign
20012,Malicious
20014,Malicious
20016,Benign
20018,Malicious
20020,Malicious
20022,Benign
20024,Malicious
20026,Malicious
20028,Benign
20030,Benign
20032,Benign
20034,Benign
20036,Malicious
20038,Malicious
20040,Malicious
20042,Benign
20044,Benign
20046,Benign
20048,Benign
20050,Benign
20052,Malicious
20054,Benign
20056,Benign
20058,Benign
20060,Malicious
20062,Benign
20064,Benign
20066,Benign
