session_id,label
,Normal
20000,Malicious
20002,Benign
20004,Benign
20006,Benign
20008,Benign
20010,Benign
20012,Benign
20014,Benign
20016,Benign
20018,Benign
20020,Benign
20022,Malicious
20024,Benign
20026,Benign
20028,Malicious
20030,Malicious
20032,Benign
20034,Benign
20036,Benign
20038,Benign
20040,Benign
20042,Benign
20044,Benign
20046,Malicious
20048,Malicious
20050,Malicious
20052,Malicious
20054,Malicious
20056,Benign
20058,Benign
20060,Benign
20062,Malicious
20064,Malicious
20066,Malicious
