session_id,label
,Normal
20000,Malicious
20002,Benign
20004,Malicious
20006,Benign
20008,Benign
20010,Benign
20012,Benign
20014,Benign
20016,Malicious
20018,Benign
20020,Benign
20022,Benign
20024,Malicious
20026,Malicious
20028,Malicious
20030,Malicious
20032,Malicious
20034,Malicious
20036,Benign
20038,Malicious
20040,Malicious
20042,Benign
20044,Benign
20046,Benign
20048,Benign
20050,Benign
20052,Benign
20054,Benign
20056,Malicious
20058,Malicious
20060,Benign
20062,Malicious
20064,Benign
20066,Benign
20068,Malicious
20070,Malicious
20072,Malicious
