session_id,label
,Normal
20000,Malicious
20002,Malicious
20004,Benign
20006,Benign
20008,Malicious
20010,Malicious
20012,Malicious
20014,Benign
20016,Malicious
20018,Benign
20020,Benign
20022,Benign
20024,Malicious
20026,Malicious
20028,Benign
20030,Benign
20032,Malicious
20034,Benign
20036,Benign
20038,Benign
20040,Benign
20042,Malicious
20044,Benign
20046,Benign
20048,Malicious
20050,Benign
20052,Malicious
20054,Malicious
20056,Malicious
20058,Benign
20060,Benign
20062,Malicious
20064,Malicious
20066,Malicious
20068,Malicious
