session_id,label
,Normal
20000,Benign
20002,Benign
20004,Benign
20006,Malicious
20008,Malicious
20010,Benign
20012,Malicious
20014,Benign
20016,Benign
20018,Benign
20020,Benign
20022,Benign
20024,Malicious
20026,Malicious
20028,Malicious
20030,Malicious
20032,Malicious
20034,Benign
20036,Malicious
20038,Malicious
20040,Malicious
20042,Malicious
20044,Benign
20046,Malicious
20048,Benign
20050,Benign
20052,Benign
20054,Malicious
20056,Benign
20058,Malicious
20060,Benign
20062,Benign
20064,Malicious
20066,Malicious
20068,Malicious
