session_id,label
,Normal
20000,Malicious
20002,Malicious
20004,Benign
20006,Benign
20008,Malicious
20010,Benign
20012,Benign
20014,Benign
20016,Benign
20018,Benign
20020,Benign
20022,Malicious
20024,Malicious
20026,Malicious
20028,Malicious
20030,Benign
20032,Benign
20034,Benign
20036,Malicious
20038,Malicious
20040,Malicious
20042,Malicious
20044,Benign
20046,Benign
20048,Benign
20050,Benign
20052,Malicious
20054,Malicious
20056,Malicious
20058,Benign
20060,Malicious
20062,Malicious
20064,Benign
20066,Malicious
20068,Benign
20070,Malicious
20072,Malicious
